car_name,car_price_in_rupees,kms_driven,fuel_type,city,year_of_manufacture
Hyundai Grand i10 Magna 1.2 Kappa VTVT [2017-2020],₹ 4.45 Lakh,"22,402",Petrol,Mumbai,2016
Maruti Suzuki Alto 800 Lxi,₹ 2.93 Lakh,"10,344",Petrol,Kolkata,2019
Tata Safari XZ Plus New,₹ 22.49 Lakh,"12,999",Diesel,Bangalore,2021
Maruti Suzuki Ciaz ZXI+,₹ 6.95 Lakh,"45,000",Petrol,Thane,2016
Jeep Compass Sport Plus 1.4 Petrol [2019-2020],₹ 12 Lakh,"11,193",Petrol,Kolkata,2019
Maruti Suzuki Eeco 5 STR WITH A/C+HTR [2019-2020],₹ 3.72 Lakh,"42,906",Petrol,Chennai,2017
Hyundai Creta SX Plus 1.6 AT CRDI,₹ 11.5 Lakh,"66,602",Diesel,Mumbai,2017
Maruti Suzuki Ertiga VXi AT,₹ 10.39 Lakh,"13,189",Petrol,Bangalore,2019
Toyota Etios Liva G,₹ 3.75 Lakh,"67,815",Petrol,Mumbai,2013
Renault Kwid 1.0 RXT AMT Opt [2016-2019],₹ 4.25 Lakh,"19,509",Petrol,Mumbai,2018
Maruti Suzuki Ciaz VDi+ SHVS,₹ 6.75 Lakh,"60,000",Diesel,Ahmedabad,2017
Maruti Suzuki Alto 800 LXi (O),₹ 4.49 Lakh,"3,583",Petrol,Bangalore,2019
Chevrolet Optra Magnum LS 2.0 TCDi,₹ 3 Lakh,"1,48,000 ",Diesel ,Pallikarnai,2007
Maruti Suzuki Vitara Brezza VDi,₹ 9.5 Lakh,"48,748",Diesel,Hyderabad,2019
Jeep Compass Longitude 2.0 Diesel [2017-2020],₹ 13.25 Lakh,"38,000",Diesel,Thane,2018
Toyota Corolla Altis VL AT Petrol,₹ 9.25 Lakh,"36,000",Petrol,Kolkata,2016
Hyundai Elite i20 Magna Executive 1.2,₹ 6.75 Lakh,"13,747",Petrol,Ahmedabad,2017
Mercedes-Benz EQC 400 4MATIC,₹ 95 Lakh,"3,200",Electric,Pune,2022
Ford EcoSport Titanium 1.5L Ti-VCT,₹ 8.71 Lakh,"12,795",Petrol,Chennai,2018
Hyundai i10 Magna 1.2 Kappa2,₹ 3.35 Lakh,"41,273",Petrol,Mumbai,2014
Hyundai Creta 1.6 SX Plus Petrol Special Edition,₹ 9.88 Lakh,"20,142",Petrol,Pune,2016
Porsche 718 Boxster,₹ 1.15 Crore,"6,500",Petrol,Pune,2020
Kia Seltos HTE 1.5 Diesel,₹ 11 Lakh,"47,103",Diesel,Thane,2019
Maruti Suzuki Ciaz Alpha Hybrid 1.5 AT [2018-2020],₹ 9.9 Lakh,"7,755",Petrol,Mumbai,2020
Renault Kwid 1.0 RXL [2017-2019],₹ 3.45 Lakh,"33,513",Petrol,Gurgaon,2019
BMW 3 Series 320d Luxury Line,₹ 37.49 Lakh,"24,848",Diesel,Kolkata,2019
Maruti Suzuki Baleno Alpha 1.2,₹ 6.39 Lakh,"34,559",Petrol,Delhi,2017
Hyundai i20 Sportz 1.2 IVT,₹ 8.9 Lakh,"4,000",Petrol,Ahmedabad,2022
Ford EcoSport Titanium 1.5L Ti-VCT,₹ 6.59 Lakh,"54,544",Petrol,Kolkata,2018
Maruti Suzuki Wagon R 1.0 VXI,₹ 3.92 Lakh,"42,247",Petrol,Kolkata,2018
Honda Jazz VX Diesel,₹ 8 Lakh,"1,00,000 ",Diesel,Hyderabad,2018
Maruti Suzuki Swift VDi,₹ 7.75 Lakh,"69,000",Diesel,Hyderabad,2019
Tata Nexon XZ Plus,₹ 11.52 Lakh,"10,422",Petrol,Delhi,2021
Audi Q3 35 TDI Premium + Sunroof,₹ 16.75 Lakh,"52,000",Diesel,Mumbai,2014
Maruti Suzuki Ciaz Alpha Hybrid 1.5 AT [2018-2020],₹ 8.5 Lakh,"56,255",Petrol,Ahmedabad,2019
Hyundai Santro Sportz CNG [2018-2020],₹ 5.93 Lakh,"78,260",CNG,Delhi,2021
Maruti Suzuki Alto 800 LXi (O) CNG,₹ 4.15 Lakh,"19,970",CNG,Bangalore,2021
MG Hector Plus Sharp 1.5 DCT Petrol,₹ 18.5 Lakh,"9,070",Petrol,Ahmedabad,2020
Ford Figo Duratec Petrol ZXI 1.2,₹ 2.4 Lakh,"73,000",Petrol,Thane,2013
Audi Q3 2.0 TDI Base Grade,₹ 11.99 Lakh,"46,336",Diesel,Kolkata,2015
Hyundai Creta SX Plus 1.6  Petrol,₹ 8.95 Lakh,"57,220",Petrol,Thane,2016
Honda Jazz ZX,₹ 9.68 Lakh,"7,096",Petrol,Pune,2021
Mercedes-Benz EQC 400 4MATIC,₹ 81 Lakh,"21,500",Electric,Bangalore,2020
Hyundai Grand i10 Asta 1.2 Kappa VTVT [2013-2016],₹ 4.93 Lakh,"44,045",Petrol,Pune,2015
BMW X1 sDrive20d,₹ 10.5 Lakh,"70,000",Diesel,Kolkata,2013
Maruti Suzuki Swift ZDi Plus,₹ 7.85 Lakh,"32,853",Diesel,Thane,2018
BMW 5 Series 520d Luxury Line [2017-2019],₹ 38.99 Lakh,"26,781",Diesel,Kolkata,2017
Skoda Superb L&K TSI AT,₹ 31 Lakh,"45,700",Petrol,Ahmedabad,2021
Maruti Suzuki Swift DZire VXI,₹ 4.85 Lakh,"62,000",Petrol,Thane,2014
Maruti Suzuki Wagon R 1.0 LXI CNG,₹ 4.35 Lakh,"73,500",CNG,Thane,2017
Maruti Suzuki Wagon R 1.0 LXI CNG,₹ 4.51 Lakh,"74,076",CNG,Pune,2017
Tata Tiago Revotron XZA,₹ 5.45 Lakh,"56,355",Petrol,Mumbai,2018
Tata Tiago Revotron XT [2016-2019],₹ 4.5 Lakh,"37,000",Petrol,Thane,2017
Maruti Suzuki Wagon R LXi 1.0 CNG,₹ 6.81 Lakh,"22,158",CNG,Pune,2021
